age,married,orientation,religion,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,MarriedN,OrientationN,ReligionN
20,Never,Hetero,Christian,2.0,4.0,6.0,4.0,5.0,7.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0
26,Never,Hetero,Christian Other,3.0,4.0,6.0,7.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0
16,Never,Hetero,Muslim,1.0,1.0,7.0,7.0,7.0,7.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0
16,Never,Bi,Atheist,2.0,7.0,4.0,7.0,2.0,2.0,6.0,2.0,2.0,4.0,2.0,1.0,4.0,5.0
25,Never,Hetero,Atheist,6.0,6.0,3.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
44,Married,Homo,Christian,5.0,6.0,6.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0
41,Previously,Hetero,Protestant,5.0,6.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,6.0
20,Never,Hetero,Agnostic,5.0,1.0,4.0,7.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,1.0,1.0,7.0
19,Never,Hetero,Muslim,3.0,1.0,6.0,7.0,6.0,7.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0
23,Married,Asexual,Agnostic,1.0,6.0,7.0,7.0,4.0,7.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,7.0
14,Never,Asexual,Protestant,1.0,3.0,7.0,7.0,4.0,6.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,6.0
22,Never,Hetero,Agnostic,7.0,2.0,6.0,2.0,7.0,5.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,7.0
65,Previously,Hetero,Christian Other,2.0,6.0,5.0,5.0,7.0,4.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0
30,Never,Hetero,Agnostic,2.0,6.0,7.0,5.0,3.0,5.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,7.0
63,Married,Hetero,Protestant,6.0,5.0,1.0,2.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0
18,Never,Bi,Atheist,2.0,6.0,7.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0
23,Never,Bi,Other,3.0,3.0,2.0,6.0,6.0,7.0,5.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0
26,Never,Bi,Agnostic,1.0,5.0,7.0,7.0,5.0,6.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,7.0
15,Never,Bi,Agnostic,2.0,3.0,6.0,7.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,7.0
28,Never,New Types,Atheist,1.0,1.0,7.0,7.0,1.0,7.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0
31,Married,Hetero,Atheist,2.0,6.0,5.0,7.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,5.0
22,Never,Hetero,Atheist,1.0,7.0,1.0,7.0,5.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0
23,Never,Hetero,Atheist,1.0,7.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,5.0
